Pulse,Position_Units,Time_Seconds,Interval_to_Next,IFR_Hz
1,0,0,316,3.95569620253165
2,316,0.2528,278,4.49640287769784
3,594,0.4752,245,5.10204081632653
4,839,0.6712,216,5.78703703703704
5,1055,0.844,190,6.57894736842105
6,1245,0.996,168,7.44047619047619
7,1413,1.1304,147,8.50340136054422
8,1560,1.248,131,9.54198473282443
9,1691,1.3528,114,10.9649122807018
10,1805,1.444,101,12.3762376237624
11,1906,1.5248,89,14.0449438202247
12,1995,1.596,79,15.8227848101266
13,2074,1.6592,69,18.1159420289855
14,2143,1.7144,61,20.4918032786885
15,2204,1.7632,53,23.5849056603774
16,2257,1.8056,48,26.0416666666667
17,2305,1.844,41,30.4878048780488
18,2346,1.8768,37,33.7837837837838
19,2383,1.9064,32,39.0625
20,2415,1.932,31.25,40
21,2446.25,1.957,NaN,NaN
